,model_train,train_predict,validate_predict,n_neighbors,difference
0,knn,0.9058144118574583,0.9058144118574583,neighbors,0.0
20,KNeighborsClassifier,0.9075475664879639,0.9049195837275308,20,0.0026279827604330785
18,KNeighborsClassifier,0.907639545884579,0.9045845159255755,18,0.003055029959003419
19,KNeighborsClassifier,0.9074621570482497,0.9039538000630716,19,0.0035083569851781515
16,KNeighborsClassifier,0.9076526857983812,0.9040917691579943,16,0.0035609166403869352
17,KNeighborsClassifier,0.9075344265741617,0.9037369914853358,17,0.0037974350888259067
14,KNeighborsClassifier,0.9079746136865342,0.904150898770104,14,0.0038237149164301876
15,KNeighborsClassifier,0.9080994428676548,0.9035990223904131,15,0.00450042047724164
12,KNeighborsClassifier,0.9083359613160937,0.9038158309681489,12,0.004520130347944851
10,KNeighborsClassifier,0.9089732471354988,0.9033427940712709,10,0.005630453064227825
13,KNeighborsClassifier,0.9084870703248187,0.9028500473036897,13,0.005637023021129006
11,KNeighborsClassifier,0.9090520866183118,0.902081362346263,11,0.006970724272048812
8,KNeighborsClassifier,0.9099521707137601,0.9029288867865026,8,0.007023283927257484
9,KNeighborsClassifier,0.9100310101965731,0.9005242825607064,9,0.009506727635866685
6,KNeighborsClassifier,0.9111741826973615,0.9011944181646169,6,0.009979764532744628
7,KNeighborsClassifier,0.9105631767055609,0.8978437401450646,7,0.012719436560496233
4,KNeighborsClassifier,0.9129152212761484,0.8987898139388205,4,0.014125407337327922
5,KNeighborsClassifier,0.9127246925260171,0.8927388836329234,5,0.01998580889309365
2,KNeighborsClassifier,0.9180332177020919,0.897469252601703,2,0.020563965100388937
3,KNeighborsClassifier,0.9172119730894566,0.8848549353516241,3,0.032357037737832495
1,KNeighborsClassifier,0.9354633133606644,0.8523927783033743,1,0.08307053505729001
