,model_train,train_predict,validate_predict,max_depth,difference
0,RandomForestClassifier,0.9058144118574583,0.9058144118574583,max_depth,0.0
8,RandomForestClassifier,0.9058262377798801,0.9058262377798801,8,0.0
1,RandomForestClassifier,0.905813097866078,0.9058262377798801,1,1.3139913802140413e-05
2,RandomForestClassifier,0.905813097866078,0.9058262377798801,2,1.3139913802140413e-05
3,RandomForestClassifier,0.905813097866078,0.9058262377798801,3,1.3139913802140413e-05
4,RandomForestClassifier,0.905813097866078,0.9058262377798801,4,1.3139913802140413e-05
5,RandomForestClassifier,0.905813097866078,0.9058262377798801,5,1.3139913802140413e-05
6,RandomForestClassifier,0.905813097866078,0.9058262377798801,6,1.3139913802140413e-05
7,RandomForestClassifier,0.905813097866078,0.9058262377798801,7,1.3139913802140413e-05
9,RandomForestClassifier,0.9059773467886051,0.9059247871333964,9,5.255965520867267e-05
10,RandomForestClassifier,0.906292704719857,0.9058853673919899,10,0.00040733732786712995
11,RandomForestClassifier,0.9072322085567118,0.9058262377798801,11,0.0014059707768316887
12,RandomForestClassifier,0.9086447492904447,0.9056488489435509,12,0.0029959003468937873
13,RandomForestClassifier,0.9104843372227478,0.9055502995900346,13,0.004934037632713162
14,RandomForestClassifier,0.9132305792074004,0.905175812046673,14,0.008054767160727394
15,RandomForestClassifier,0.9162527593818984,0.9046239356669821,15,0.011628823714916359
16,RandomForestClassifier,0.9208648691264585,0.9037764112267423,16,0.017088457899716136
17,RandomForestClassifier,0.9249908020603385,0.9029091769157994,17,0.02208162514453904
18,RandomForestClassifier,0.929556922106591,0.9021404919583728,18,0.027416430148218263
19,RandomForestClassifier,0.9344384000840954,0.9008199306212551,19,0.033618469462840306
20,RandomForestClassifier,0.9388205613371177,0.8999526963103122,20,0.038867865026805504
